"","past_pat_year","past_pat","pasture_id","patch_id","year","BOBO_1","BOBO_2","BOBO_3","BOBO_4","BOBO_5","clouds_1","clouds_2","clouds_3","clouds_4","clouds_5","wind_1","wind_2","wind_3","wind_4","wind_5","julian_date_1","julian_date_2","julian_date_3","julian_date_4","julian_date_5","start_time_1","start_time_2","start_time_3","start_time_4","start_time_5","observer_1","observer_2","observer_3","observer_4","observer_5","area_surveyed","transect_length"
"20","235_S_2022","235_S","235","S",2022,1,0,7,9,0,0.88,0.13,0.38,0.13,0.63,3,2,3,3,2,158,168,179,191,196,6.78333333333333,6.05,6.28333333333333,6.4,6.55,"JJC","HKG","WPT","NGP","JJC",9,900
"21","235_S_2023","235_S","235","S",2023,2,4,5,0,4,0.38,0.63,0.13,0.88,0.13,1,3,1,3,3,154,168,178,189,195,6.31666666666667,6.61666666666667,6.03333333333333,6.1,6.35,"JJC","WPT","JJC","JJC","JLS",9,900
"22","BSH_C_2015","BSH_C","BSH","C",2015,0,0,0,0,4,0.13,0.13,0.13,0.13,0.63,3,3,2,3,2,149,159,174,193,215,6.86666666666667,7.01666666666667,6.25,9.63333333333333,6.73333333333333,"SR","SR","BSV","BSV","SR",2,200
"23","BSH_C_2016","BSH_C","BSH","C",2016,0,0,0,3,3,0.63,0.13,0.38,0.13,0.38,2,1,2,3,1,149,165,180,193,209,6.98333333333333,6.85,6.63333333333333,8.2,7.28333333333333,"SBN","JJC","SR","SBN","ACW",2,200
"24","BSH_C_2021","BSH_C","BSH","C",2021,0,0,0,0,1,0.13,0.38,0.88,0.13,0.13,2,2,1,1,1,154,167,179,186,199,7.66666666666667,6.56666666666667,8.31666666666667,7.28333333333333,9.3,"WPT","JJC","JEM","JNA","JEM",2,200
"25","BSH_N_2014","BSH_N","BSH","N",2014,0,1,NA,NA,NA,0.13,0.13,0.43,0.37,0.37,1,2,2.32,2.29,2.15,184,200,169.67,182.77,195.25,6.43333333333333,8.06666666666667,7.59,7.79,7.82,"CD","ORG",NA,NA,NA,2,200
"26","BSH_N_2015","BSH_N","BSH","N",2015,1,0,0,1,1,0.13,0.13,0.13,0.13,0.38,3,3,2,3,2,149,159,174,193,215,7.11666666666667,7.13333333333333,6.38333333333333,9.81666666666667,6.9,"SR","SR","BSV","BSV","SR",2,200
"27","BSH_N_2016","BSH_N","BSH","N",2016,1,1,6,1,2,0.88,0.13,0.38,0.13,0.38,4,1,3,3,1,149,165,180,193,209,7.5,7.31666666666667,6.83333333333333,8.76666666666667,7.76666666666667,"SBN","JJC","SR","SBN","ACW",2,200
"28","BSH_N_2017","BSH_N","BSH","N",2017,0,0,0,1,0,0.38,0.13,0.13,0.13,0.13,2,4,2,1,2,146,162,178,190,205,9.01666666666667,6.35,8.41666666666667,8.38333333333333,8.5,"JD","ALL","ALL","JJC","JD",2,200
"29","BSH_N_2021","BSH_N","BSH","N",2021,0,0,1,4,1,0.13,0.38,0.88,0.13,0.13,2,2,1,1,1,154,167,179,186,199,7.21666666666667,6.3,8.01666666666667,6.86666666666667,8.9,"WPT","JJC","JEM","JNA","JEM",2,200
"30","BSH_N_2022","BSH_N","BSH","N",2022,0,0,0,1,1,0.63,0.38,0.38,0.63,0.63,2,3,1,2,4,158,169,179,190,196,8.36666666666667,8.63333333333333,6.75,7.75,9.2,"JJC","HKG","JLS","JJC","NGP",2,200
"31","BSH_N_2023","BSH_N","BSH","N",2023,0,0,0,1,2,0.13,0.13,0.13,0.13,0.13,3,3,1,1,1,154,172,184,191,194,8.95,8.7,7.56666666666667,6.65,8.5,"WPT","JJC","JJC","JLS","HKG",2,200
"32","BSH_S_2016","BSH_S","BSH","S",2016,0,0,0,1,0,0.63,0.13,0.38,0.13,0.38,1,1,2,3,1,149,165,180,193,209,6.65,6.53333333333333,6.46666666666667,7.75,6.96666666666667,"SBN","JJC","SR","SBN","ACW",2,200
"33","DUN_C_2014","DUN_C","DUN","C",2014,9,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,210,158.38,169.67,182.77,195.25,9.56666666666667,7.61,7.59,7.79,7.82,"SBN",NA,NA,NA,NA,3,300
"34","DUN_C_2015","DUN_C","DUN","C",2015,11,7,10,3,0,0.13,0.63,0.38,0.13,0.38,2,4,2,2,1,147,158,172,191,215,8.26666666666667,6.75,7.85,7.98333333333333,7.5,"BSV","BSV","BSV","BSV","JJC",3,300
"35","DUN_C_2016","DUN_C","DUN","C",2016,8,33,8,13,2,0.38,0.38,0.63,0.13,0.38,1,2,2,1,3,153,166,177,197,213,7.83333333333333,6.96666666666667,7.33333333333333,7.16666666666667,8.63333333333333,"JJC","SBN","JJC","SBN","SR",3,300
"36","DUN_C_2017","DUN_C","DUN","C",2017,4,1,2,4,2,0.13,0.13,0.13,0.13,0.13,1,1,2,1,1,150,160,176,188,203,6.4,7.63333333333333,7.06666666666667,7.4,7.18333333333333,"JD","JJC","JD","ALL","JJC",3,300
"37","DUN_C_2018","DUN_C","DUN","C",2018,2,6,7,7,0,0.13,0.13,0.88,0.13,0.13,2,1,3,3,3,147,159,173,188,201,7.43333333333333,6.81666666666667,7.08333333333333,9.03333333333333,7.46666666666667,"TMS","JJC","TMS","TMS","TMS",3,300
"38","DUN_E_2014","DUN_E","DUN","E",2014,3,NA,NA,NA,NA,0.13,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,210,158.38,169.67,182.77,195.25,8.18333333333333,7.61,7.59,7.79,7.82,"SBN",NA,NA,NA,NA,3,300
"39","DUN_E_2015","DUN_E","DUN","E",2015,12,8,15,2,0,0.13,0.63,0.13,0.13,0.38,2,4,1,2,2,147,158,172,191,215,7.21666666666667,5.9,6.8,7.01666666666667,6.5,"BSV","BSV","BSV","BSV","JJC",3,300
"40","DUN_E_2016","DUN_E","DUN","E",2016,1,4,5,5,1,0.38,0.38,0.63,0.13,0.38,1,1,2,2,3,153,166,177,197,213,6.96666666666667,6.23333333333333,6.48333333333333,6.48333333333333,7.88333333333333,"JJC","SBN","JJC","SBN","SR",3,300
"41","DUN_E_2017","DUN_E","DUN","E",2017,3,2,5,0,0,0.13,0.13,0.13,0.13,0.13,1,1,2,1,1,150,160,176,188,203,5.88333333333333,6.43333333333333,5.96666666666667,6.21666666666667,6.61666666666667,"JD","JJC","JD","ALL","JJC",3,300
"42","DUN_E_2018","DUN_E","DUN","E",2018,6,3,0,4,1,0.13,0.38,0.88,0.13,0.13,1,1,4,2,3,147,159,173,188,201,6.38333333333333,5.85,6.36666666666667,8.28333333333333,6.71666666666667,"TMS","JJC","TMS","TMS","TMS",3,300
"43","DUN_W_2014","DUN_W","DUN","W",2014,1,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,210,158.38,169.67,182.77,195.25,9.15,7.61,7.59,7.79,7.82,"SBN",NA,NA,NA,NA,3,300
"44","DUN_W_2015","DUN_W","DUN","W",2015,11,3,3,12,1,0.13,0.63,0.13,0.13,0.38,2,4,2,2,1,147,158,172,191,215,7.78333333333333,6.36666666666667,7.36666666666667,7.41666666666667,6.95,"BSV","BSV","BSV","BSV","JJC",3,300
"45","DUN_W_2016","DUN_W","DUN","W",2016,3,4,6,11,0,0.38,0.38,0.63,0.13,0.38,1,3,2,3,3,153,166,177,197,213,7.4,7.6,7.06666666666667,7.7,8.28333333333333,"JJC","SBN","JJC","SBN","SR",3,300
"46","DUN_W_2017","DUN_W","DUN","W",2017,11,11,5,6,4,0.13,0.13,0.13,0.13,0.13,2,1,1,2,1,150,160,176,188,203,6.86666666666667,7.05,6.58333333333333,6.9,7.51666666666667,"JD","JJC","JD","ALL","JJC",3,300
"47","DUN_W_2018","DUN_W","DUN","W",2018,5,6,12,14,5,0.13,0.13,0.88,0.13,0.13,2,1,4,3,4,147,159,173,188,201,7,6.36666666666667,6.73333333333333,8.66666666666667,7.15,"TMS","JJC","TMS","TMS","TMS",3,300
"48","FRN_E_2014","FRN_E","FRN","E",2014,2,0,NA,NA,NA,0.38,0.63,0.43,0.37,0.37,2,3,2.32,2.29,2.15,177,191,169.67,182.77,195.25,6.26666666666667,6.98333333333333,7.59,7.79,7.82,"CD","CD",NA,NA,NA,2,200
"49","FRN_E_2015","FRN_E","FRN","E",2015,0,0,1,0,2,0.13,0.88,0.13,0.38,0.88,2,2,3,2,2,147,163,180,191,215,7.93333333333333,8.83333333333333,6.61666666666667,8.73333333333333,8.93333333333333,"SBN","BSV","BSV","BSV","BSV",2,200
"50","FRN_E_2016","FRN_E","FRN","E",2016,2,2,3,6,0,0.38,0.63,0.38,0.13,0.13,1,2,3,3,2,153,166,177,192,213,8.93333333333333,9.53333333333333,8.38333333333333,7.16666666666667,6.78333333333333,"JJC","SBN","JJC","SR","SR",2,200
"51","FRN_S_2015","FRN_S","FRN","S",2015,0,1,0,0,1,0.13,0.88,0.13,0.38,0.88,2,3,2,2,2,147,163,180,191,215,8.31666666666667,9.33333333333333,7.13333333333333,9.26666666666667,9.46666666666667,"SBN","BSV","BSV","BSV","BSV",2,200
"52","FRN_W_2014","FRN_W","FRN","W",2014,1,0,NA,NA,NA,0.38,0.63,0.43,0.37,0.37,2,3,2.32,2.29,2.15,177,191,169.67,182.77,195.25,6.56666666666667,7.53333333333333,7.59,7.79,7.82,"CD","CD",NA,NA,NA,2,200
"53","FRS_E_2015","FRS_E","FRS","E",2015,0,1,1,6,0,0.88,0.88,0.13,0.88,0.13,3,3,2,2,4,149,163,179,196,223,7.8,6.4,7.98333333333333,9.31666666666667,9.01666666666667,"SBN","BSV","BSV","BSV","SBN",2,200
"54","FRS_E_2016","FRS_E","FRS","E",2016,1,0,3,0,0,0.63,0.38,0.38,0.13,0.63,2,2,1,2,3,152,166,179,197,217,6.88333333333333,8.4,6.65,9.08333333333333,7.03333333333333,"SBN","SBN","SBN","SBN","SBN",2,200
"55","FRS_N_2015","FRS_N","FRS","N",2015,2,2,7,3,0,0.88,0.88,0.13,0.88,0.13,3,3,3,2,3,149,163,179,196,223,8.16666666666667,6.76666666666667,8.31666666666667,9.71666666666667,9.25,"SBN","BSV","BSV","BSV","SBN",2,200
"56","FRS_N_2016","FRS_N","FRS","N",2016,0,0,1,0,0,0.63,0.38,0.38,0.13,0.63,1,3,1,2,2,152,166,179,197,217,7.25,8.58333333333333,6.91666666666667,9.35,7.4,"SBN","SBN","SBN","SBN","SBN",2,200
"57","FRS_W_2015","FRS_W","FRS","W",2015,0,0,0,1,0,0.88,0.88,0.13,0.88,0.13,3,3,2,2,3,149,163,179,196,223,8.55,7.01666666666667,8.6,10.05,9.48333333333333,"SBN","BSV","BSV","BSV","SBN",2,200
"58","FRS_W_2016","FRS_W","FRS","W",2016,2,0,0,1,0,0.63,0.63,0.38,0.13,0.38,2,2,1,3,2,152,166,179,197,217,7.6,8.75,7.16666666666667,9.65,7.73333333333333,"SBN","SBN","SBN","SBN","SBN",2,200
"59","GIL_C_2007","GIL_C","GIL","C",2007,0,1,1,1,0,0.38,0.38,0.13,0.13,0.13,3,3,2,1,1,142,149,159,166,177,7.51666666666667,6.85,6.33333333333333,6.68333333333333,8.15,"CB","JF","CW","FP","CW",3.75,375.3
"60","GIL_C_2008","GIL_C","GIL","C",2008,1,3,3,0,1,0.13,0.38,0.38,0.88,0.88,2,4,1,2,4,133,141,147,150,160,6.65,6.8,6.55,6.48333333333333,9.38333333333333,"JF","SR","CW","SR","JF",3.75,375.3
"61","GIL_C_2009","GIL_C","GIL","C",2009,0,0,2,0,0,0.88,0.63,0.38,0.13,0.63,3,1,2,2,2,146,156,162,173,181,6.96666666666667,6.78333333333333,7.95,9.31666666666667,6.98333333333333,"EH","FP","FP","JL","EH",3.75,375.3
"62","GIL_C_2010","GIL_C","GIL","C",2010,1,0,0,0,0,0.38,0.13,0.63,0.38,0.38,3,1,3,5,3,142,149,161,177,189,6.93333333333333,6.53333333333333,6.85,7.3,8.08333333333333,"SR","TL","SR","SR","SR",3,300
"63","GIL_C_2012","GIL_C","GIL","C",2012,1,0,0,1,0,0.13,0.13,0.38,0.63,0.13,1,1,3,1,3,142,150,159,173,181,7.28333333333333,6.2,6.85,6.5,9.1,"SR","CD","SR","CD","CD",3,300
"64","GIL_C_2021","GIL_C","GIL","C",2021,0,0,3,1,0,0.38,0.13,0.63,0.88,0.13,2,2,1,2,1,153,166,178,190,201,8.5,9.13333333333333,8.53333333333333,8.55,8.75,"JJC","WPT","JEM","JNA","JEM",3,300
"65","GIL_C_2022","GIL_C","GIL","C",2022,0,0,0,1,0,0.38,0.88,0.13,0.88,0.63,2,3,2,1,1,154,168,180,189,198,7.73333333333333,7.23333333333333,6.63333333333333,9.33333333333333,6.21666666666667,"JJC","WPT","JJC","HKG","JJC",3,300
"66","GIL_C_2023","GIL_C","GIL","C",2023,0,1,0,0,0,0.38,0.13,0.88,0.38,0.13,3,3,3,1,1,155,168,179,190,194,6.51666666666667,7.16666666666667,6.86666666666667,6.75,7.35,"WPT","JJC","WPT","HKG","JJC",3,300
"67","GIL_N_2007","GIL_N","GIL","N",2007,0,1,0,2,0,0.38,0.38,0.13,0.13,0.13,3,3,4,1,3,142,149,159,166,177,7.88333333333333,6.46666666666667,6.26666666666667,6.35,8.46666666666667,"CB","JF","JF","FP","CW",4.01,401.33
"68","GIL_N_2008","GIL_N","GIL","N",2008,0,2,0,0,0,0.13,0.38,0.38,0.88,0.88,2,4,1,2,4,133,141,147,150,160,7.13333333333333,7.1,6.93333333333333,6.65,9.63333333333333,"JF","SR","CW","SR","JF",4.01,401.33
"69","GIL_N_2009","GIL_N","GIL","N",2009,1,1,0,1,0,0.88,0.38,0.38,0.13,0.63,3,1,2,2,2,146,156,162,173,181,7.41666666666667,7.2,8.3,8.9,7.33333333333333,"EH","FP","FP","JL","EH",4.01,401.33
"70","GIL_N_2011","GIL_N","GIL","N",2011,0,1,0,0,0,0.63,0.63,0.13,0.88,0.13,4,4,2.32,3,3,140,147,157,171,182,7.9,8.58333333333333,7.13333333333333,7.6,8.25,"SR","SR","SR","CD","SR",3,300
"71","GIL_S_2007","GIL_S","GIL","S",2007,0,0,0,1,0,0.38,0.38,0.13,0.13,0.13,3,3,2,2,3,142,149,159,166,177,7.31666666666667,7.21666666666667,6.15,7.05,8,"CB","JF","CW","FP","CW",1.51,150.84
"72","GIL_S_2008","GIL_S","GIL","S",2008,0,0,0,1,0,0.13,0.38,0.38,0.88,0.88,2,4,1,3,4,133,141,147,150,160,6.5,6.48333333333333,6.43333333333333,6.15,9.3,"JF","SR","CW","SR","JF",1.51,150.84
"73","GIL_S_2009","GIL_S","GIL","S",2009,2,0,0,0,0,0.88,0.63,0.38,0.13,0.63,3,1,2,2,2,146,156,162,173,181,6.75,6.66666666666667,7.76666666666667,9.61666666666667,6.81666666666667,"EH","FP","FP","JL","EH",1.51,150.84
"74","GIL_S_2010","GIL_S","GIL","S",2010,1,0,0,0,0,0.38,0.13,0.63,0.38,0.38,3,1,2,5,3,142,149,161,177,189,6.73333333333333,6.28333333333333,6.71666666666667,7.18333333333333,7.93333333333333,"SR","TL","SR","SR","SR",2,200
"75","GIL_S_2021","GIL_S","GIL","S",2021,0,1,0,0,0,0.38,0.13,0.63,0.88,0.13,2,2,1,2,1,153,166,178,190,201,8.45,8.91666666666667,8.31666666666667,8.23333333333333,8.51666666666667,"JJC","WPT","JEM","JNA","JEM",1.75,175
"76","KLN_C_2007","KLN_C","KLN","C",2007,3,0,2,2,1,0.13,0.88,0.13,0.13,0.13,1,5,4,1,2,145,150,159,166,177,8.15,8.51666666666667,7.61666666666667,7.95,6.48333333333333,"CW","JF","FP","FP","CW",5.96,596
"77","KLN_C_2008","KLN_C","KLN","C",2008,0,1,3,1,1,0.38,0.38,0.63,0.88,0.88,4,4,3,2,2,134,140,146,156,165,6.33333333333333,9.31666666666667,8.68333333333333,8.98333333333333,6.6,"CW","SR","CW","CW","SR",5.96,596
"78","KLN_C_2009","KLN_C","KLN","C",2009,5,0,3,0,3,0.13,0.13,0.38,0.13,0.63,3,3,3,3,3,134,168,170,182,201,8.43333333333333,8.36666666666667,6.95,9.18333333333333,7.9,"EH","SR","EH","FP","EH",5.96,596
"79","KLN_C_2010","KLN_C","KLN","C",2010,0,1,8,3,1,0.13,0.13,0.63,0.63,0.38,2,1,2,2,3,139,149,158,174,184,6.73333333333333,7.01666666666667,7.2,7.05,7,"SR","SR","TH","SR","TH",4,400
"80","KLN_C_2011","KLN_C","KLN","C",2011,0,3,0,1,2,0.63,0.37,0.88,0.13,0.13,2,2.4,2,2,2,139,147,162,175,183,7.4,6.96666666666667,6.26666666666667,6.36666666666667,6.31666666666667,"TL","SR","CP","CP","CD",4,400
"81","KLN_C_2012","KLN_C","KLN","C",2012,1,2,6,1,3,0.13,0.63,0.38,0.13,0.38,4,3,2,3,3,138,147,160,173,181,8.95,8.76666666666667,6.38333333333333,9.33333333333333,8.98333333333333,"SR","CD","CD","SR","CD",4,400
"82","KLN_C_2013","KLN_C","KLN","C",2013,0,0,0,1,3,0.88,0.88,0.38,0.13,0.38,4,1,1,2,4,143,156,168,177,194,6.26666666666667,6.95,7.58333333333333,6.63333333333333,8.61666666666667,"CD","AM","SR","AM","CD",4,400
"83","KLN_C_2015","KLN_C","KLN","C",2015,1,0,1,1,0,0.63,0.13,0.63,0.13,0.63,4,3,4,4,3,145,159,173,195,215,8.95,6.01666666666667,6.7,6.36666666666667,7.51666666666667,"BSV","SR","SR","SR","SR",4,400
"84","KLN_C_2016","KLN_C","KLN","C",2016,4,1,1,0,0,0.38,0.38,0.13,0.63,0.88,1,2,4,4,1,151,168,179,192,215,6.63333333333333,7.1,7.98333333333333,9.51666666666667,6.4,"SBN","ACW","SR","SBN","JJC",4,400
"85","KLN_C_2018","KLN_C","KLN","C",2018,1,2,2,0,0,0.13,0.63,0.88,0.13,0.88,3,1,2,1,4,146,161,174,190,199,8.73333333333333,7.95,7.25,6.26666666666667,9.1,"JJC","TMS","SR","TMS","BJE",4,400
"86","KLN_E_2007","KLN_E","KLN","E",2007,3,0,5,4,2,0.13,0.88,0.13,0.13,0.13,1,3,2.32,2,2,145,150,159,166,177,7.9,8.35,7.86666666666667,8.48333333333333,6.31666666666667,"JF","JF","CB","FP","CW",5.84,584
"87","KLN_E_2008","KLN_E","KLN","E",2008,1,2,3,3,1,0.38,0.38,0.63,0.88,0.88,4,4,3,2,2,134,140,146,156,165,6.1,9.15,8.56666666666667,8.83333333333333,6.46666666666667,"CW","SR","CW","CW","SR",5.84,584
"88","KLN_E_2009","KLN_E","KLN","E",2009,5,5,2,1,4,0.13,0.13,0.38,0.13,0.63,3,3,3,2,3,134,168,170,182,201,6.7,8.2,6.48333333333333,8.8,8.46666666666667,"EH","SR","EH","FP","EH",5.84,584
"89","KLN_E_2010","KLN_E","KLN","E",2010,3,1,8,6,4,0.13,0.13,0.63,0.63,0.38,2,1,2,2,3,139,149,158,174,184,6.51666666666667,6.86666666666667,6.96666666666667,6.93333333333333,6.8,"SR","SR","TH","SR","TH",5,500
"90","KLN_E_2011","KLN_E","KLN","E",2011,3,3,3,3,6,0.63,0.13,0.88,0.13,0.13,2,3,2,1,2,139,147,162,175,183,7.03333333333333,6.8,6.16666666666667,6.16666666666667,6.11666666666667,"TL","SR","CP","CP","CD",5,500
"91","KLN_E_2012","KLN_E","KLN","E",2012,2,1,0,0,9,0.13,0.63,0.38,0.13,0.38,4,3,2,3,3,138,147,160,173,181,8.68333333333333,8.65,6.25,9.18333333333333,8.85,"SR","CD","CD","SR","CD",5,500
"92","KLN_E_2013","KLN_E","KLN","E",2013,0,3,2,6,8,0.88,0.88,0.38,0.38,0.38,4,1,1,2,3,143,156,168,177,194,6.41666666666667,6.81666666666667,7.48333333333333,6.43333333333333,8.4,"CD","AM","CD","AM","CD",5,500
"93","KLN_E_2014","KLN_E","KLN","E",2014,0,3,0,2,2,0.38,0.13,0.63,0.13,0.38,2,4,4,2,1,141,152,168,184,200,8.06666666666667,6.63333333333333,6.66666666666667,6.98333333333333,6.25,"CD","SR","CD","CD","ORG",4,400
"94","KLN_E_2015","KLN_E","KLN","E",2015,1,3,1,0,0,0.63,0.13,0.63,0.13,0.63,4,3,4,4,2,145,159,173,195,215,8.78333333333333,5.9,6.56666666666667,6.21666666666667,7.38333333333333,"BSV","SR","SR","SR","SR",4,400
"95","KLN_E_2017","KLN_E","KLN","E",2017,1,0,2,2,0,0.63,0.13,0.13,0.13,0.13,3,4,1,1,2,152,161,178,189,204,8.66666666666667,7.21666666666667,6.31666666666667,6.05,7.81666666666667,"JJC","SR","JJC","ALL","JJC",4,400
"96","KLN_E_2018","KLN_E","KLN","E",2018,2,2,4,3,0,0.13,0.63,0.88,0.13,0.63,1,1,2,1,4,146,161,174,190,199,8.56666666666667,7.8,7.11666666666667,6.1,8.93333333333333,"JJC","TMS","SR","TMS","BJE",4,400
"97","KLN_E_2021","KLN_E","KLN","E",2021,0,1,1,0,0,0.38,0.63,0.88,0.13,0.38,2,2,1,2,3,154,165,179,186,199,6.53333333333333,8.55,6.08333333333333,6.15,9.25,"JEM","JJC","JEM","JNA","JJC",4,400
"98","KLN_E_2023","KLN_E","KLN","E",2023,1,1,0,0,0,0.88,0.13,0.63,0.88,0.88,3,1,2,3,2,158,171,178,189,194,8.86666666666667,6.65,6.01666666666667,9.1,5.83333333333333,"WPT","JJC","JLS","JJC","JLS",4,400
"99","KLN_W_2007","KLN_W","KLN","W",2007,1,0,0,0,4,0.13,0.63,0.13,0.13,0.13,1,2,4,2,2,145,150,159,166,177,8.33333333333333,8.71666666666667,7.81666666666667,8.1,6.63333333333333,"JF","CW","FP","FP","CW",3.77,377
"100","KLN_W_2008","KLN_W","KLN","W",2008,1,0,1,0,0,0.38,0.38,0.63,0.88,0.88,3,4,3,2,2,134,140,146,156,165,6.55,9.45,8.81666666666667,9.06666666666667,6.75,"CW","SR","CW","CW","SR",3.77,377
"101","KLN_W_2009","KLN_W","KLN","W",2009,1,1,2,0,0,0.13,0.13,0.38,0.13,0.63,3,3,3,3,3,134,168,170,182,201,7.91666666666667,8.51666666666667,7.1,9.33333333333333,8.13333333333333,"EH","SR","EH","FP","EH",3.77,377
"102","KLN_W_2010","KLN_W","KLN","W",2010,3,2,1,5,1,0.13,0.13,0.63,0.63,0.38,2,1,2,2,3,139,149,158,174,184,6.95,7.2,7.53333333333333,7.28333333333333,7.25,"SR","SR","TH","SR","TL",3,300
